FID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Medinc,GEO_id3,Id,GEO_id2,Geography,Wrk_16over,CarTruckVa,DriveAlone,Carpool,PublicTran,Walk,Bike,TaxiMCOthe,WorkfrHm,WlkBikTran,SHAPE_Length,SHAPE_Area
11,06,037,192610,06037192610,1926.10,Census Tract 1926.10,G5020,S,415408,0,+34.0813650,-118.2961539,30307,6037192610,1400000US06037192610,6037192610,"Census Tract 1926.10, Los Angeles County, California",2306,66,52.5,13.5,27,1.6,1,0.4,4,30,0.0280177986671981,4.05753926825515e-05
12,06,037,192700,06037192700,1927,Census Tract 1927,G5020,S,531205,0,+34.0800134,-118.2881064,30156,6037192700,1400000US06037192700,6037192700,"Census Tract 1927, Los Angeles County, California",1258,55.6,51.4,4.2,31,1.4,0,1.9,10,32,0.0288497032978296,5.18852121558765e-05
13,06,037,194500,06037194500,1945,Census Tract 1945,G5020,S,685342,0,+34.0781753,-118.3695958,100656,6037194500,1400000US06037194500,6037194500,"Census Tract 1945, Los Angeles County, California",1176,77,67.9,9.2,5,2,1,0,15,8,0.0468782093145638,6.64860837954032e-05
14,06,037,195100,06037195100,1951,Census Tract 1951,G5020,S,1566362,329063,+34.1022274,-118.2669741,97878,6037195100,1400000US06037195100,6037195100,"Census Tract 1951, Los Angeles County, California",2245,80.1,75.1,4.9,3,2.4,0,0,15,5,0.0654863015810789,0.000185179979126353
15,06,037,195300,06037195300,1953,Census Tract 1953,G5020,S,580349,0,+34.0992506,-118.2836893,56168,6037195300,1400000US06037195300,6037195300,"Census Tract 1953, Los Angeles County, California",2001,73.9,69.7,4.1,11,6.1,1,0.3,8,18,0.0345686184550211,5.66983320885249e-05
16,06,037,137501,06037137501,1375.01,Census Tract 1375.01,G5020,S,2514417,0,+34.1649344,-118.5768036,70029,6037137501,1400000US06037137501,6037137501,"Census Tract 1375.01, Los Angeles County, California",1543,84.9,81.4,3.5,0,1.2,0,0,13,1,0.0748846009302637,0.00024583750286347
17,06,037,137502,06037137502,1375.02,Census Tract 1375.02,G5020,S,2090215,0,+34.1634518,-118.5976927,86125,6037137502,1400000US06037137502,6037137502,"Census Tract 1375.02, Los Angeles County, California",1617,90,84.7,5.3,1,2.4,0,1.8,5,3,0.0587735723911799,0.000204358885600371
18,06,037,195500,06037195500,1955,Census Tract 1955,G5020,S,1215206,0,+34.0881864,-118.2646124,72011,6037195500,1400000US06037195500,6037195500,"Census Tract 1955, Los Angeles County, California",2810,74.8,66.7,8.1,8,0.6,4,1.5,12,13,0.0587736719028939,0.000118706377591465
19,06,037,195600,06037195600,1956,Census Tract 1956,G5020,S,527584,0,+34.0808254,-118.2655482,51111,6037195600,1400000US06037195600,6037195600,"Census Tract 1956, Los Angeles County, California",1494,65.5,54.2,11.2,28,0,1,0.7,5,29,0.0344551410707678,5.15318763945065e-05
20,06,037,195710,06037195710,1957.10,Census Tract 1957.10,G5020,S,483407,0,+34.0747292,-118.2686024,33125,6037195710,1400000US06037195710,6037195710,"Census Tract 1957.10, Los Angeles County, California",2204,51.4,42,9.4,37,2.8,1,3.7,4,41,0.0292700225414513,4.72137161970592e-05
21,06,037,195720,06037195720,1957.20,Census Tract 1957.20,G5020,S,288986,0,+34.0737571,-118.2633774,38011,6037195720,1400000US06037195720,6037195720,"Census Tract 1957.20, Los Angeles County, California",1103,66,57.3,8.7,23,6.2,3,0,1,32,0.0246858798335304,2.82245154998694e-05
22,06,037,195802,06037195802,1958.02,Census Tract 1958.02,G5020,S,402523,0,+34.0756705,-118.2776960,39004,6037195802,1400000US06037195802,6037195802,"Census Tract 1958.02, Los Angeles County, California",1177,78.1,63.1,15,17,0,0,0.4,5,17,0.0309713930857786,3.93143226859765e-05
23,06,037,137504,06037137504,1375.04,Census Tract 1375.04,G5020,S,3837564,0,+34.1480383,-118.5720594,118409,6037137504,1400000US06037137504,6037137504,"Census Tract 1375.04, Los Angeles County, California",923,86.5,72.3,14.2,0,0.5,0,5.2,7,0,0.0968751659439761,0.000375123424537023
24,06,037,138000,06037138000,1380,Census Tract 1380,G5020,S,4472390,0,+34.1488008,-118.5910501,111818,6037138000,1400000US06037138000,6037138000,"Census Tract 1380, Los Angeles County, California",2334,82.5,70.4,12,0,2.7,0,1.4,14,3,0.0955442880636431,0.000437180527060564
25,06,037,139200,06037139200,1392,Census Tract 1392,G5020,S,1152032,0,+34.1756962,-118.5246447,51250,6037139200,1400000US06037139200,6037139200,"Census Tract 1392, Los Angeles County, California",2587,81.3,74.5,6.8,6,0,2,0,11,8,0.0426642580175347,0.000112649109832954
26,06,037,143200,06037143200,1432,Census Tract 1432,G5020,S,957093,0,+34.1494399,-118.3720618,50989,6037143200,1400000US06037143200,6037143200,"Census Tract 1432, Los Angeles County, California",2197,92.2,84.8,7.4,4,0.8,0,0,4,5,0.0435313656626009,9.35595287810669e-05
27,06,037,143300,06037143300,1433,Census Tract 1433,G5020,S,1649228,5619,+34.1521830,-118.3866139,68013,6037143300,1400000US06037143300,6037143300,"Census Tract 1433, Los Angeles County, California",3401,88.1,80.9,7.2,3,0.6,0,0,8,4,0.0611843355105909,0.000161773967123149
28,06,037,201301,06037201301,2013.01,Census Tract 2013.01,G5020,S,872773,0,+34.0882238,-118.1878083,37064,6037201301,1400000US06037201301,6037201301,"Census Tract 2013.01, Los Angeles County, California",1183,78.4,65.3,13.1,11,2.8,0,3.6,5,14,0.0598287286254507,8.52559387439668e-05
29,06,037,201302,06037201302,2013.02,Census Tract 2013.02,G5020,S,991723,0,+34.0978820,-118.1838819,62021,6037201302,1400000US06037201302,6037201302,"Census Tract 2013.02, Los Angeles County, California",1738,92.8,89.9,2.9,4,0,0,1.4,2,4,0.0442200426064761,9.68864698866984e-05
30,06,037,201401,06037201401,2014.01,Census Tract 2014.01,G5020,S,1273109,28686,+34.0781950,-118.1855013,44904,6037201401,1400000US06037201401,6037201401,"Census Tract 2014.01, Los Angeles County, California",2068,85.5,72.1,13.4,12,0.8,0,0.4,1,13,0.0467662976181025,0.000127153359299906
31,06,037,201402,06037201402,2014.02,Census Tract 2014.02,G5020,S,1941231,0,+34.0689106,-118.1877681,46378,6037201402,1400000US06037201402,6037201402,"Census Tract 2014.02, Los Angeles County, California",1881,77.4,65.6,11.9,14,4.2,0,3.2,1,18,0.0576112761213451,0.000189583801713469
32,06,037,139301,06037139301,1393.01,Census Tract 1393.01,G5020,S,2865645,0,+34.1781538,-118.5581266,90846,6037139301,1400000US06037139301,6037139301,"Census Tract 1393.01, Los Angeles County, California",2187,83.2,80.4,2.7,2,0.4,0,1.3,14,2,0.0839763135865973,0.000280219710241055
33,06,037,139302,06037139302,1393.02,Census Tract 1393.02,G5020,S,338299,0,+34.1767231,-118.5383656,50127,6037139302,1400000US06037139302,6037139302,"Census Tract 1393.02, Los Angeles County, California",2151,84.5,78.1,6.4,6,4.6,0,0,5,11,0.0234649927301571,3.30803317381929e-05
34,06,037,139502,06037139502,1395.02,Census Tract 1395.02,G5020,S,1047549,0,+34.1628402,-118.5263111,58158,6037139502,1400000US06037139502,6037139502,"Census Tract 1395.02, Los Angeles County, California",1209,76.2,73.9,2.2,6,3.6,0,2.5,12,10,0.051036388472261,0.000102417952439136
35,06,037,139600,06037139600,1396,Census Tract 1396,G5020,S,2477489,0,+34.1640599,-118.5101001,80109,6037139600,1400000US06037139600,6037139600,"Census Tract 1396, Los Angeles County, California",2714,89.7,78.7,11,0,0.5,0,1.6,8,0,0.0627080156907745,0.000242224451676607
36,06,037,139701,06037139701,1397.01,Census Tract 1397.01,G5020,S,3396394,2411,+34.1574290,-118.4954117,119886,6037139701,1400000US06037139701,6037139701,"Census Tract 1397.01, Los Angeles County, California",2248,85.9,81.3,4.7,2,2,0,2.4,7,4,0.0986354689644314,0.000332275751032641
37,06,037,139801,06037139801,1398.01,Census Tract 1398.01,G5020,S,3665744,0,+34.1527206,-118.5455805,145833,6037139801,1400000US06037139801,6037139801,"Census Tract 1398.01, Los Angeles County, California",1245,85.9,83.1,2.7,3,1.6,0,0.6,9,5,0.082901359479839,0.000358353136284644
38,06,037,143400,06037143400,1434,Census Tract 1434,G5020,S,1738503,18832,+34.1538507,-118.4110998,79957,6037143400,1400000US06037143400,6037143400,"Census Tract 1434, Los Angeles County, California",3488,86.2,83.1,3.2,2,0.7,1,0.5,10,4,0.0665642011666881,0.000171794210475836
39,06,037,143500,06037143500,1435,Census Tract 1435,G5020,S,1191721,46468,+34.1476412,-118.4067800,92800,6037143500,1400000US06037143500,6037143500,"Census Tract 1435, Los Angeles County, California",2668,83,75.8,7.2,4,1.8,0,0.9,10,6,0.0604541046194927,0.000121034815554406
40,06,037,181000,06037181000,1810,Census Tract 1810,G5020,S,4107036,30513,+34.1452670,-118.2043861,71038,6037181000,1400000US06037181000,6037181000,"Census Tract 1810, Los Angeles County, California",3349,89.6,76.3,13.3,2,0,2,1.7,4,4,0.119073307899887,0.00040417976789572
41,06,037,181500,06037181500,1815,Census Tract 1815,G5020,S,1094728,0,+34.1347808,-118.1928507,73594,6037181500,1400000US06037181500,6037181500,"Census Tract 1815, Los Angeles County, California",1648,83.1,75.3,7.8,5,0,0,0.9,10,5,0.0551407334026716,0.000106987105438058
42,06,037,181600,06037181600,1816,Census Tract 1816,G5020,S,1250035,0,+34.1297233,-118.2097406,53884,6037181600,1400000US06037181600,6037181600,"Census Tract 1816, Los Angeles County, California",2078,66,61.6,4.4,7,20.5,2,0.2,5,30,0.0551262595869087,0.000122167457977085
43,06,037,183101,06037183101,1831.01,Census Tract 1831.01,G5020,S,948157,19799,+34.1222377,-118.1823583,58576,6037183101,1400000US06037183101,6037183101,"Census Tract 1831.01, Los Angeles County, California",2031,87.7,73.4,14.3,5,1.6,0,0.5,5,7,0.0500524654292228,9.45906051785619e-05
44,06,037,183220,06037183220,1832.20,Census Tract 1832.20,G5020,S,535234,0,+34.1199723,-118.1892861,52615,6037183220,1400000US06037183220,6037183220,"Census Tract 1832.20, Los Angeles County, California",1848,84.5,69.9,14.7,14,0,0,0,2,14,0.0406609376383239,5.23031283110673e-05
45,06,037,183300,06037183300,1833,Census Tract 1833,G5020,S,541304,0,+34.1210001,-118.2008163,43250,6037183300,1400000US06037183300,6037183300,"Census Tract 1833, Los Angeles County, California",1751,87.3,69.2,18.1,9,1.7,0,0,2,11,0.0309506467549368,5.28971568179766e-05
46,06,037,183510,06037183510,1835.10,Census Tract 1835.10,G5020,S,500438,0,+34.1154022,-118.2030827,58977,6037183510,1400000US06037183510,6037183510,"Census Tract 1835.10, Los Angeles County, California",1158,85.5,76.3,9.2,6,1.3,0,0.8,7,7,0.0321642472959214,4.89005810984704e-05
47,06,037,183520,06037183520,1835.20,Census Tract 1835.20,G5020,S,427704,0,+34.1109412,-118.2015849,39737,6037183520,1400000US06037183520,6037183520,"Census Tract 1835.20, Los Angeles County, California",1616,69.7,54.3,15.3,23,2,0,1.2,4,25,0.0284585691143419,4.17911565855061e-05
48,06,037,183610,06037183610,1836.10,Census Tract 1836.10,G5020,S,378642,0,+34.1140024,-118.1948974,32380,6037183610,1400000US06037183610,6037183610,"Census Tract 1836.10, Los Angeles County, California",1243,75.4,61.5,13.9,18,2.7,1,0,4,22,0.0287361877124061,3.69984686524389e-05
49,06,037,192300,06037192300,1923,Census Tract 1923,G5020,S,879494,0,+34.0797430,-118.3284923,71419,6037192300,1400000US06037192300,6037192300,"Census Tract 1923, Los Angeles County, California",1685,81.1,78.6,2.5,0,1.7,0,0.5,16,2,0.0383077793016929,8.59041131374233e-05
50,06,037,195400,06037195400,1954,Census Tract 1954,G5020,S,1030283,0,+34.0916921,-118.2740532,67213,6037195400,1400000US06037195400,6037195400,"Census Tract 1954, Los Angeles County, California",2364,83.8,77.7,6,6,2.6,2,0,6,11,0.0520058560771145,0.000100646452714629
51,06,037,183820,06037183820,1838.20,Census Tract 1838.20,G5020,S,308656,0,+34.1039593,-118.1971255,38438,6037183820,1400000US06037183820,6037183820,"Census Tract 1838.20, Los Angeles County, California",1463,74.8,57.8,17,16,5.1,0,1.5,3,21,0.0319861352818681,3.01562382974668e-05
52,06,037,185100,06037185100,1851,Census Tract 1851,G5020,S,2278044,0,+34.1048825,-118.2103941,61500,6037185100,1400000US06037185100,6037185100,"Census Tract 1851, Los Angeles County, California",3037,74.1,63.1,11,14,2.2,2,1.4,6,18,0.0769896493516077,0.000222571433240044
53,06,037,185202,06037185202,1852.02,Census Tract 1852.02,G5020,S,1205736,0,+34.0950599,-118.2170631,38356,6037185202,1400000US06037185202,6037185202,"Census Tract 1852.02, Los Angeles County, California",1932,78.8,69.7,9.1,10,0,2,4.1,5,12,0.0529203546993556,0.000117790809717511
54,06,037,185310,06037185310,1853.10,Census Tract 1853.10,G5020,S,421083,0,+34.0922029,-118.2226256,44360,6037185310,1400000US06037185310,6037185310,"Census Tract 1853.10, Los Angeles County, California",1366,78.6,70.7,7.8,11,3.8,0,5.1,1,15,0.0368719296534376,4.11350017335436e-05
55,06,037,185320,06037185320,1853.20,Census Tract 1853.20,G5020,S,587862,2709,+34.0887194,-118.2242419,40060,6037185320,1400000US06037185320,6037185320,"Census Tract 1853.20, Los Angeles County, California",1371,62.7,56.6,6.1,25,4.1,1,3,4,30,0.0422407721015013,5.7689646063969e-05
56,06,037,800506,06037800506,8005.06,Census Tract 8005.06,G5020,S,26486777,2849765,+34.0516505,-118.6049503,147557,6037800506,1400000US06037800506,6037800506,"Census Tract 8005.06, Los Angeles County, California",1401,76.4,66.8,9.6,0,0,0,3.1,21,0,0.0555481808196335,2.49029885208767e-08
57,06,037,186401,06037186401,1864.01,Census Tract 1864.01,G5020,S,961479,0,+34.1174816,-118.2455078,29944,6037186401,1400000US06037186401,6037186401,"Census Tract 1864.01, Los Angeles County, California",1402,77.5,60.9,16.6,16,5.1,0,0.3,1,21,0.0549644924345858,9.39530933455038e-05
58,06,037,197200,06037197200,1972,Census Tract 1972,G5020,S,744116,32985,+34.0907632,-118.2343586,42051,6037197200,1400000US06037197200,6037197200,"Census Tract 1972, Los Angeles County, California",1749,79.6,65.1,14.5,14,0.5,1,0,5,16,0.044898850892561,7.5912538079679e-05
59,06,037,197300,06037197300,1973,Census Tract 1973,G5020,S,654247,0,+34.0811373,-118.2520467,51058,6037197300,1400000US06037197300,6037197300,"Census Tract 1973, Los Angeles County, California",2121,72.6,61.2,11.5,14,2.9,0,2.8,8,17,0.0450967890111129,6.39043183844473e-05
60,06,037,197410,06037197410,1974.10,Census Tract 1974.10,G5020,S,1393295,0,+34.0929146,-118.2504371,57315,6037197410,1400000US06037197410,6037197410,"Census Tract 1974.10, Los Angeles County, California",2145,86.1,83.3,2.8,4,0.6,0,0.5,9,5,0.0555333383149845,0.000136110014951977
61,06,037,197420,06037197420,1974.20,Census Tract 1974.20,G5020,S,615578,0,+34.0832000,-118.2571856,60559,6037197420,1400000US06037197420,6037197420,"Census Tract 1974.20, Los Angeles County, California",1823,70.1,63.7,6.4,12,4.8,4,0.9,8,21,0.0340875186306182,6.01287428715236e-05
62,06,037,197500,06037197500,1975,Census Tract 1975,G5020,S,581661,58811,+34.0717475,-118.2577066,45875,6037197500,1400000US06037197500,6037197500,"Census Tract 1975, Los Angeles County, California",1843,77.6,69.3,8.3,14,2.2,2,0,4,18,0.0311415078299623,6.25530446620817e-05
63,06,037,197600,06037197600,1976,Census Tract 1976,G5020,S,388300,0,+34.0683315,-118.2519864,41784,6037197600,1400000US06037197600,6037197600,"Census Tract 1976, Los Angeles County, California",1157,74.3,67.2,7.2,12,1.9,2,0.5,10,16,0.0304726884828726,3.79218980565963e-05
64,06,037,197700,06037197700,1977,Census Tract 1977,G5020,S,701768,0,+34.0685435,-118.2457754,36509,6037197700,1400000US06037197700,6037197700,"Census Tract 1977, Los Angeles County, California",2565,80.2,62.9,17.3,12,2.9,2,1.9,1,17,0.0423939716124465,6.85360679880699e-05
65,06,037,199000,06037199000,1990,Census Tract 1990,G5020,S,1500952,59674,+34.0800545,-118.2197173,30154,6037199000,1400000US06037199000,6037199000,"Census Tract 1990, Los Angeles County, California",1950,79.1,64.6,14.5,11,4.5,1,0,4,16,0.0563955586084072,0.000152433885909489
66,06,037,199110,06037199110,1991.10,Census Tract 1991.10,G5020,S,902100,0,+34.0793615,-118.1974040,44886,6037199110,1400000US06037199110,6037199110,"Census Tract 1991.10, Los Angeles County, California",1106,86.3,71.2,15.1,9,0,0,1.6,2,9,0.0429653888742081,8.81119233384098e-05
67,06,037,187102,06037187102,1871.02,Census Tract 1871.02,G5020,S,1960140,236567,+34.1090483,-118.2514556,53980,6037187102,1400000US06037187102,6037187102,"Census Tract 1871.02, Los Angeles County, California",1411,84.5,78.7,5.7,4,0.9,0,4.1,6,5,0.114237136865285,0.00021462130476811
68,06,037,187200,06037187200,1872,Census Tract 1872,G5020,S,918312,33033,+34.1054562,-118.2468522,39150,6037187200,1400000US06037187200,6037187200,"Census Tract 1872, Los Angeles County, California",1358,79.5,65.8,13.7,7,6.1,0,0,7,13,0.0472533063869119,9.29472245659445e-05
69,06,037,187300,06037187300,1873,Census Tract 1873,G5020,S,1168849,0,+34.1016125,-118.2567240,76143,6037187300,1400000US06037187300,6037187300,"Census Tract 1873, Los Angeles County, California",1790,83.5,77.1,6.4,3,3.4,1,2.4,7,7,0.05726230888672,0.000114195752889947
70,06,037,236400,06037236400,2364,Census Tract 2364,G5020,S,1340500,0,+34.0067001,-118.3512616,54750,6037236400,1400000US06037236400,6037236400,"Census Tract 2364, Los Angeles County, California",1988,85.9,80.7,5.2,6,0,0,0.7,7,6,0.0587583650959824,0.000127964457951514
71,06,037,237500,06037237500,2375,Census Tract 2375,G5020,S,337329,0,+33.9783023,-118.2893094,30645,6037237500,1400000US06037237500,6037237500,"Census Tract 2375, Los Angeles County, California",1040,80.5,62.2,18.3,14,0.3,1,0.1,4,15,0.0241322563669237,3.29095742722254e-05
72,06,037,213201,06037213201,2132.01,Census Tract 2132.01,G5020,S,334942,0,+34.0526559,-118.3045301,28667,6037213201,1400000US06037213201,6037213201,"Census Tract 2132.01, Los Angeles County, California",1817,64.1,53.9,10.2,22,8.2,0,0,5,30,0.025667546193631,3.27051422130943e-05
73,06,037,213202,06037213202,2132.02,Census Tract 2132.02,G5020,S,337924,0,+34.0490294,-118.3045035,26625,6037213202,1400000US06037213202,6037213202,"Census Tract 2132.02, Los Angeles County, California",1976,62.3,52.3,10.1,24,6.7,1,2.7,4,32,0.025411235344009,3.29945863789138e-05
74,06,037,128302,06037128302,1283.02,Census Tract 1283.02,G5020,S,688873,0,+34.1838638,-118.4605367,31386,6037128302,1400000US06037128302,6037128302,"Census Tract 1283.02, Los Angeles County, California",2155,69.7,51.6,18.1,14,6.2,4,1.4,5,24,0.0386025431690345,6.73672348040013e-05
75,06,037,134306,06037134306,1343.06,Census Tract 1343.06,G5020,S,619815,0,+34.2119148,-118.6017021,61604,6037134306,1400000US06037134306,6037134306,"Census Tract 1343.06, Los Angeles County, California",1414,88,71.6,16.5,7,1.4,0,0,4,8,0.0312352734674278,6.06331586359126e-05
76,06,037,119320,06037119320,1193.20,Census Tract 1193.20,G5020,S,486436,10184,+34.2369427,-118.4547256,44426,6037119320,1400000US06037119320,6037119320,"Census Tract 1193.20, Los Angeles County, California",1848,76.2,57.7,18.5,12,4.2,0,3.8,4,16,0.0280146623952609,4.85968691969965e-05
77,06,037,294520,06037294520,2945.20,Census Tract 2945.20,G5020,S,484078,0,+33.7868323,-118.2658196,47981,6037294520,1400000US06037294520,6037294520,"Census Tract 2945.20, Los Angeles County, California",1722,85.4,70.2,15.3,7,5.1,0,0,2,12,0.0280869847535769,4.71227976743842e-05
78,06,037,213310,06037213310,2133.10,Census Tract 2133.10,G5020,S,312089,0,+34.0508743,-118.2978915,32078,6037213310,1400000US06037213310,6037213310,"Census Tract 2133.10, Los Angeles County, California",1528,71.6,61.6,9.9,20,3.1,1,0.9,4,24,0.0229357350273462,3.04730332934968e-05
79,06,037,213320,06037213320,2133.20,Census Tract 2133.20,G5020,S,311438,0,+34.0508830,-118.2937000,25641,6037213320,1400000US06037213320,6037213320,"Census Tract 2133.20, Los Angeles County, California",922,62.4,55.4,6.9,27,5.4,0,0.5,5,32,0.0229935059956242,3.04096442474607e-05
80,06,037,213401,06037213401,2134.01,Census Tract 2134.01,G5020,S,196100,0,+34.0537069,-118.2879026,36537,6037213401,1400000US06037213401,6037213401,"Census Tract 2134.01, Los Angeles County, California",3091,56.4,40.2,16.1,38,2.5,2,0.5,2,42,0.0198653212424931,1.9148129991491e-05
81,06,037,214700,06037214700,2147,Census Tract 2147,G5020,S,593339,0,+34.0664969,-118.3661529,95648,6037214700,1400000US06037214700,6037214700,"Census Tract 2147, Los Angeles County, California",1629,85.5,82.1,3.4,2,6.4,1,0,5,9,0.031293088303954,5.79452777861865e-05
82,06,037,214800,06037214800,2148,Census Tract 2148,G5020,S,576884,0,+34.0713896,-118.3730515,96422,6037214800,1400000US06037214800,6037214800,"Census Tract 2148, Los Angeles County, California",1766,69.6,68.6,1,5,5.9,1,0,19,12,0.0325047316298624,5.61449183841566e-05
83,06,037,216100,06037216100,2161,Census Tract 2161,G5020,S,675031,0,+34.0569256,-118.3379721,82663,6037216100,1400000US06037216100,6037216100,"Census Tract 2161, Los Angeles County, California",1180,86.4,79.2,7.3,5,2.4,0,0.5,6,7,0.0340050893699692,6.59158916469268e-05
84,06,037,216200,06037216200,2162,Census Tract 2162,G5020,S,964417,0,+34.0571243,-118.3482415,68135,6037216200,1400000US06037216200,6037216200,"Census Tract 2162, Los Angeles County, California",3202,86.7,77,9.7,4,0.4,1,1.6,6,5,0.0422879519560427,9.41740777376147e-05
85,06,037,216300,06037216300,2163,Census Tract 2163,G5020,S,1272857,0,+34.0599709,-118.3622105,60950,6037216300,1400000US06037216300,6037216300,"Census Tract 2163, Los Angeles County, California",2678,70.6,70.1,0.5,7,3.3,2,5.5,12,12,0.0597107325148021,0.000124296295334419
86,06,037,216700,06037216700,2167,Census Tract 2167,G5020,S,777949,0,+34.0482451,-118.3719490,61862,6037216700,1400000US06037216700,6037216700,"Census Tract 2167, Los Angeles County, California",2024,76.8,66.6,10.3,14,1.7,4,0,3,20,0.0351408753313256,7.5958176536478e-05
87,06,037,213402,06037213402,2134.02,Census Tract 2134.02,G5020,S,391846,0,+34.0498405,-118.2878882,36667,6037213402,1400000US06037213402,6037213402,"Census Tract 2134.02, Los Angeles County, California",2335,64,50.6,13.4,24,5.8,0,1.7,4,30,0.0253153056217858,3.82601254119343e-05
88,06,037,214000,06037214000,2140,Census Tract 2140,G5020,S,1011536,0,+34.0748535,-118.3485020,98438,6037214000,1400000US06037214000,6037214000,"Census Tract 2140, Los Angeles County, California",1709,74.5,66,8.5,1,4.5,2,2.3,16,8,0.0397444750553801,9.87953634225017e-05
89,06,037,214100,06037214100,2141,Census Tract 2141,G5020,S,1108280,0,+34.0746639,-118.3392739,107599,6037214100,1400000US06037214100,6037214100,"Census Tract 2141, Los Angeles County, California",2061,78.7,75.6,3.1,1,0.9,0,1.2,18,2,0.0420895939935847,0.000108244041045079
90,06,037,214400,06037214400,2144,Census Tract 2144,G5020,S,344250,0,+34.0781666,-118.3573276,74167,6037214400,1400000US06037214400,6037214400,"Census Tract 2144, Los Angeles County, California",2098,67.7,63.3,4.4,3,6.1,5,3.1,15,14,0.0246282328803242,3.36237052581304e-05
91,06,037,216800,06037216800,2168,Census Tract 2168,G5020,S,739843,0,+34.0557841,-118.3706043,96326,6037216800,1400000US06037216800,6037216800,"Census Tract 2168, Los Angeles County, California",1901,79.3,77,2.3,6,1.2,1,1.2,11,8,0.0355258234753841,7.22436952648567e-05
92,06,037,216900,06037216900,2169,Census Tract 2169,G5020,S,1094558,0,+34.0499363,-118.3631083,61146,6037216900,1400000US06037216900,6037216900,"Census Tract 2169, Los Angeles County, California",2661,72.6,64.1,8.5,16,1.1,2,0,8,19,0.0443301978595061,0.000106873333967641
93,06,037,217100,06037217100,2171,Census Tract 2171,G5020,S,897832,0,+34.0489658,-118.3545296,49600,6037217100,1400000US06037217100,6037217100,"Census Tract 2171, Los Angeles County, California",3074,81,71.9,9.2,10,1.9,1,0.5,5,13,0.0390773642157901,8.76642817595098e-05
